Facility_INSPIRE_ID;parentCompanyName;nameOfFeature;mainActivityCode;mainActivityName;pointGeometryLon;pointGeometryLat;streetName;buildingNumber;postalCode;city;countryCode;telephoneNo
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000022723.ProductionFacility;L. Rajala Oy;L. Rajala Oy, Broilerlihantuotanto;7(a)(i);Installations for the intensive rearing of poultry with 40,000 places for poultry;22.86535;63.00334;Raamatuntie;63;62130;Hellanmaa;FI;0295027500
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000022724.ProductionFacility;Rantalan Broileri Oy;Rantalan Broileri Oy, Broilerlihantuotanto;7(a)(i);Installations for the intensive rearing of poultry with 40,000 places for poultry;22.84183;63.02918;Raamatuntie;429;62130;62130;FI;0295027500
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000022737.ProductionFacility;Broilerlihantuotanto;Broilerlihantuotanto;7(a)(i);Installations for the intensive rearing of poultry with 40,000 places for poultry;21.87619;63.0031;Sevarintie;24;65520;Helsingby;FI;0295027500
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000022745.ProductionFacility;broilerkasvattamo;broilerkasvattamo;7(a)(i);Installations for the intensive rearing of poultry with 40,000 places for poultry;23.07627;62.50719;Kihniänpääntie;145;61650;Kalakoski;FI;0295027500
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000022793.ProductionFacility;Itälehdon Tila Oy;Itälehdon Tila Oy, broilerkasvattamo;7(a)(i);Installations for the intensive rearing of poultry with 40,000 places for poultry;22.57828;62.79374;Harjunmäentie;131;60800;Ilmajoki;FI;0295027500
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000022829.ProductionFacility;Kankaan Broileri Oy;Kankaan Broileri Oy, Yli-Nevala;7(a)(i);Installations for the intensive rearing of poultry with 40,000 places for poultry;22.86248;62.99538;Vaasantie;624;62130;Hellanmaa;FI;0295027500
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000022849.ProductionFacility;Navet Ab;Navet Ab, Porsastuotanto;7(a)(iii);Installations for the intensive rearing of pigs with 750 places for sows;21.46358;62.93581;Öjnavägen;244;66100;Malax;FI;0295027500
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000022878.ProductionFacility;Broilerlihantuotanto;Broilerlihantuotanto;7(a)(i);Installations for the intensive rearing of poultry with 40,000 places for poultry;22.859;62.99493;Vaasantie;626;62130;Hellanmaa;FI;0295027500
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000022886.ProductionFacility;Sikamanni Oy;Sikamanni Oy, Sianlihan tuotanto;7(a)(ii);Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg);22.94736;62.59217;Niemenvuorentie;71;61100;Peräseinäjoki;FI;0295027500
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000022895.ProductionFacility;UPC Konsultointi Oy;UPC Konsultointi Oy, Teollisuuslaitos;9(c);Installations for the surface treatment of substances, objects or products using organic solvents, in particular for dressing, printing, coating, degreasing, waterproofing, sizing, painting, cleaning or impregnating;21.62103;63.11782;Gerbyntie;18;65230;Vaasa;FI;0295027500
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000022924.ProductionFacility;Latvalan Maatila Oy;Latvalan Maatila Oy, Porsastuotanto;7(a)(iii);Installations for the intensive rearing of pigs with 750 places for sows;22.69861;62.87985;Louhikonmäentie;46;60560;Halkosaari;FI;0295027500
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000023133.ProductionFacility;Aurajoki Oy;Aurajoki Oy, Lievestuoreen tehdas;2(f);Installations for surface treatment of metals and plastic materials using an electrolytic or chemical process;26.19202;62.26268;Tehtaantie;5;41400;Lievestuore;FI;0295024500
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000023139.ProductionFacility;Metsä Board Oyj;Metsä Board Oyj, Metsä Board, Äänekoski Mill;6(b);Industrial plants for the production of paper and board and other primary wood products (such as chipboard, fibreboard and plywood);25.74141;62.59616;Kuhnamontie;2;44100;Äänekoski;FI;0295024500
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000023143.ProductionFacility;Fortum Waste Solutions Oy;Fortum Waste Solutions Oy, Jämsä Öljynkierrätys;5(a);Installations for the recovery or disposal of hazardous waste;25.14183;61.90501;Myllyharjuntie;20;42300;Jämsänkoski;FI;0295024500
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000023235.ProductionFacility;UPM Communication Papers Oy;UPM Communication Papers Oy, Vierelän täyttöalue, Jämsänkoski;5(d);Landfills (excluding landfills of inert waste and landfills, which were definitely closed before 16.7.2001 or for which the after-care phase required by the competent authorities according to Article 13 of Council Directive 1999/31/EC of 26 April 1999 on the landfill of waste has expired);25.19067;61.94626;Kaatopaikantie;63;42300;Jämsänkoski;FI;0295024500
